estmtd_rsdnt_ppltn_smmry_sttstcs_30_jne_fmls_ttl_nm, lga_name_2019, births_deaths_year_ended_31_december_and_num, lga_code_2019, estmtd_rsdnt_ppltn_smmry_sttstcs_30_jne_mdn_age_fmls_yrs, estmtd_rsdnt_ppltn_smmry_sttstcs_30_jne_mls_ttl_nm, brths_dths_yr_endd_31_dcmbr_and_stndrdsd_dth_rte_pr_1000_ppltn, speaks_language_english_home_census_a_other_than_at_pc, estmtd_rsdnt_ppltn_smmry_sttstcs_30_jne_mdn_age_prsns_yrs, estmtd_rsdnt_ppltn_smmry_sttstcs_30_jne_mdn_age_mls_yrs, brths_dths_yr_endd_31_dcmbr_and_nm, estmtd_rsdnt_ppltn_smmry_sttstcs_30_jne_prsns_ttl_nm, yr, population_density_as_at_30_june_population_density_personskm2, australian_citizenship_census_australian_citizen_pc
28005,"Albury (C)",null,"10050",40.1,26348,null,null,38.6,37.3,null,54353,2019,177.7,null
15784,"Armidale Regional (A)",null,"10130",36.8,14995,null,null,35.9,34.8,null,30779,2019,3.6,null
23079,"Ballina (A)",null,"10250",48.8,21549,null,null,47.6,46.2,null,44628,2019,92.0,null
1145,"Balranald (A)",null,"10300",40.1,1193,null,null,40.2,40.2,null,2338,2019,0.1,null
21657,"Bathurst Regional (A)",null,"10470",38.2,21961,null,null,36.7,35.3,null,43618,2019,11.4,null
88675,"Bayside (A)",null,"10500",35.9,89721,null,null,35.1,34.3,null,178396,2019,3575.8,null
754,"Brewarrina (A)",null,"11200",35.7,857,null,null,32.7,31.3,null,1611,2019,0.1,null
17539,"Bega Valley (A)",null,"10550",51.4,16937,null,null,51.2,51.1,null,34476,2019,5.5,null
6653,"Bellingen (A)",null,"10600",49.5,6343,null,null,49.1,48.6,null,12996,2019,8.1,null
4352,"Berrigan (A)",null,"10650",50.1,4398,null,null,49.4,48.6,null,8750,2019,4.2,null
51498,"Camden (A)",null,"11450",32.8,49939,null,null,32.4,32.0,null,101437,2019,504.6,null
186822,"Blacktown (C)",null,"10750",34.3,187629,null,null,33.8,33.2,null,374451,2019,1559.9,null
2946,"Bland (A)",null,"10800",43.5,3026,null,null,43.4,43.2,null,5972,2019,0.7,null
3694,"Blayney (A)",null,"10850",42.7,3685,null,null,42.8,42.8,null,7379,2019,4.8,null
40592,"Blue Mountains (C)",null,"10900",45.3,38526,null,null,44.0,42.5,null,79118,2019,55.3,null
1280,"Bogan (A)",null,"10950",41.3,1300,null,null,40.5,39.8,null,2580,2019,0.2,null
1352,"Bourke (A)",null,"11150",33.6,1238,null,null,35.8,37.7,null,2590,2019,0.1,null
8967,"Broken Hill (C)",null,"11250",45.8,8512,null,null,45.0,44.2,null,17479,2019,102.7,null
18149,"Byron (A)",null,"11350",43.9,16932,null,null,43.8,43.8,null,35081,2019,62.0,null
6832,"Cabonne (A)",null,"11400",44.0,6802,null,null,43.5,43.1,null,13634,2019,2.3,null
20613,"Burwood (A)",null,"11300",33.5,19999,null,null,32.8,32.1,null,40612,2019,5697.5,null
86478,"Campbelltown (C) (NSW)",null,"11500",35.0,84465,null,null,34.4,33.7,null,170943,2019,548.1,null
1484,"Hay (A)",null,"13850",45.4,1465,null,null,45.5,45.8,null,2949,2019,0.3,null
49450,"Canada Bay (A)",null,"11520",37.7,46624,null,null,36.7,35.8,null,96074,2019,4822.2,null
187930,"Canterbury-Bankstown (A)",null,"11570",35.8,189987,null,null,35.0,34.2,null,377917,2019,3428.2,null
1360,"Carrathool (A)",null,"11600",37.3,1439,null,null,38.9,40.3,null,2799,2019,0.1,null
175685,"Central Coast (C) (NSW)",null,"11650",43.4,168283,null,null,41.9,40.3,null,343968,2019,204.6,null
22806,"Strathfield (A)",null,"17100",33.3,24120,null,null,32.4,31.6,null,46926,2019,3351.6,null
850,"Central Darling (A)",null,"11700",36.1,989,null,null,37.2,38.8,null,1839,2019,null,null
29814,"Cessnock (C)",null,"11720",37.8,30171,null,null,37.0,36.2,null,59985,2019,30.5,null
25771,"Clarence Valley (A)",null,"11730",49.9,25891,null,null,49.2,48.3,null,51662,2019,5.0,null
2213,"Cobar (A)",null,"11750",36.6,2445,null,null,36.7,36.8,null,4658,2019,0.1,null
1648,"Lockhart (A)",null,"14950",42.7,1637,null,null,44.5,47.0,null,3285,2019,1.1,null
39801,"Coffs Harbour (C)",null,"11800",44.1,37476,null,null,43.2,42.2,null,77277,2019,65.8,null
2185,"Coolamon (A)",null,"12000",45.6,2156,null,null,44.5,43.2,null,4341,2019,1.8,null
1942,"Coonamble (A)",null,"12150",41.6,2016,null,null,40.8,40.2,null,3958,2019,0.4,null
5565,"Cootamundra-Gundagai Regional (A)",null,"12160",48.1,5670,null,null,47.1,46.0,null,11235,2019,2.8,null
6370,"Cowra (A)",null,"12350",46.9,6373,null,null,46.4,45.9,null,12743,2019,4.5,null
115696,"Cumberland (A)",null,"12380",33.5,125825,null,null,32.9,32.4,null,241521,2019,3375.5,null
27131,"Dubbo Regional (A)",null,"12390",37.6,26588,null,null,36.4,35.2,null,53719,2019,7.1,null
4697,"Dungog (A)",null,"12700",44.1,4726,null,null,44.7,45.2,null,9423,2019,4.2,null
80138,"Glen Eira (C)",null,"22310",37.2,76373,null,null,36.4,35.5,null,156511,2019,4045.2,null
4584,"Edward River (A)",null,"12730",45.6,4500,null,null,44.7,43.8,null,9084,2019,1.0,null
19622,"Eurobodalla (A)",null,"12750",55.0,18851,null,null,54.4,53.7,null,38473,2019,11.2,null
106395,"Fairfield (C)",null,"12850",37.6,105300,null,null,36.5,35.4,null,211695,2019,2085.5,null
6281,"Federation (A)",null,"12870",50.5,6156,null,null,50.4,50.2,null,12437,2019,2.2,null
4915,"Forbes (A)",null,"12900",40.6,4991,null,null,40.7,40.8,null,9906,2019,2.1,null
80460,"Georges River (A)",null,"12930",37.6,79011,null,null,36.1,34.6,null,159471,2019,4158.7,null
737,"Aurukun (S)",null,"30250",26.7,681,null,null,28.3,29.6,null,1418,2019,0.2,null
2127,"Gilgandra (A)",null,"12950",43.7,2112,null,null,44.1,44.5,null,4239,2019,0.9,null
4445,"Glen Innes Severn (A)",null,"13010",48.8,4426,null,null,47.8,47.1,null,8871,2019,1.6,null
15287,"Goulburn Mulwaree (A)",null,"13310",43.1,15845,null,null,41.5,40.0,null,31132,2019,9.7,null
5274,"Greater Hume Shire (A)",null,"13340",44.1,5490,null,null,44.1,44.2,null,10764,2019,1.9,null
13566,"Griffith (C)",null,"13450",37.2,13463,null,null,36.4,35.6,null,27029,2019,16.5,null
6270,"Gunnedah (A)",null,"13550",39.6,6411,null,null,38.3,37.2,null,12681,2019,2.5,null
119,"Barcoo (S)",null,"30450",47.5,147,null,null,49.0,50.2,null,266,2019,null,null
2678,"Gwydir (A)",null,"13660",47.5,2675,null,null,47.8,48.1,null,5353,2019,0.6,null
33806,"Hawkesbury (C)",null,"13800",38.5,33490,null,null,37.5,36.5,null,67296,2019,24.2,null
9538,"Hilltops (A)",null,"13910",44.4,9166,null,null,44.3,44.2,null,18704,2019,2.6,null
76918,"Hornsby (A)",null,"14000",40.7,75141,null,null,39.8,38.7,null,152059,2019,334.2,null
7371,"Hunters Hill (A)",null,"14100",45.2,7609,null,null,42.1,37.8,null,14980,2019,2620.3,null
101864,"Inner West (A)",null,"14170",36.6,98947,null,null,36.2,35.8,null,200811,2019,5677.2,null
8562,"Inverell (A)",null,"14200",42.9,8328,null,null,42.2,41.2,null,16890,2019,2.0,null
2867,"Junee (A)",null,"14300",40.3,3816,null,null,39.1,38.6,null,6683,2019,3.3,null
635354,"Brisbane (C)",null,"31000",35.6,618628,null,null,34.9,34.3,null,1253982,2019,933.9,null
14597,"Kempsey (A)",null,"14350",48.1,15148,null,null,47.4,46.7,null,29745,2019,8.8,null
11869,"Kiama (A)",null,"14400",47.9,11517,null,null,46.4,44.6,null,23386,2019,90.8,null
65941,"Ku-ring-gai (A)",null,"14500",42.2,61212,null,null,41.1,39.8,null,127153,2019,1488.7,null
4263,"Kyogle (A)",null,"14550",51.1,4533,null,null,51.4,51.8,null,8796,2019,2.5,null
147,"Burke (S)",null,"31950",37.4,207,null,null,37.7,37.6,null,354,2019,null,null
3040,"Lachlan (A)",null,"14600",38.6,3035,null,null,39.1,39.6,null,6075,2019,0.4,null
105331,"Lake Macquarie (C)",null,"14650",43.0,100570,null,null,41.8,40.5,null,205901,2019,317.4,null
20239,"Lane Cove (A)",null,"14700",37.4,19916,null,null,36.5,35.5,null,40155,2019,3831.8,null
5732,"Leeton (A)",null,"14750",38.4,5713,null,null,38.5,38.5,null,11445,2019,9.8,null
22246,"Lismore (C)",null,"14850",44.2,21446,null,null,43.5,42.8,null,43692,2019,33.9,null
