median_aud_2017_18, median_age_of_earners_years_2017_18, lga_code, mean_aud_2017_18, earners_persons_2017_18, main_source_pc_of_earners_2017_18, sum_aud_2017_18
38814.0,38.0,"34830",43310.0,98.0,94.9,4244344.0
47998.0,39.0,"10050",53363.0,26652.0,77.7,1.422225615E9
41770.0,39.0,"10130",49811.0,14268.0,75.2,7.10700207E8
42969.0,43.0,"10250",50678.0,20680.0,67.2,1.048011269E9
41931.0,41.0,"10300",45891.0,1042.0,68.8,4.781813E7
50268.0,40.0,"10470",56426.0,20744.0,79.6,1.170490965E9
51360.0,35.0,"10500",60198.0,95504.0,81.8,5.74912127E9
40164.0,45.0,"10550",46136.0,15312.0,65.5,7.06426991E8
39919.0,45.0,"10600",47289.0,5464.0,64.9,2.58385932E8
40899.0,42.0,"10650",45595.0,3742.0,68.2,1.70616449E8
54516.0,37.0,"10750",59905.0,191284.0,87.8,1.1458838658E10
41799.0,40.0,"10800",49549.0,2441.0,64.7,1.20949889E8
49229.0,43.0,"10850",56871.0,3474.0,74.9,1.97568124E8
53506.0,43.0,"10900",63277.0,40522.0,75.6,2.564103004E9
47120.0,38.0,"10950",54888.0,1277.0,71.2,7.0091579E7
47204.0,38.0,"11150",50494.0,1292.0,78.2,6.5238723E7
43666.0,40.0,"11200",47235.0,614.0,79.9,2.9002127E7
43257.0,42.0,"14850",47561.0,20700.0,74.2,9.8450754E8
49631.0,42.0,"14870",60001.0,8914.0,78.8,5.34849938E8
52026.0,37.0,"14900",57712.0,102379.0,84.8,5.908541525E9
49099.0,41.0,"11250",56178.0,8477.0,83.7,4.76220109E8
60106.0,41.0,"14000",75845.0,82394.0,75.9,6.249168384E9
67071.0,44.0,"14100",111291.0,6903.0,62.8,7.68241423E8
63400.0,37.0,"14170",81113.0,117506.0,81.6,9.531205715E9
43084.0,39.0,"14200",46649.0,7120.0,72.6,3.32138601E8
46115.0,40.0,"14300",51347.0,2549.0,73.2,1.30884165E8
40047.0,43.0,"14350",45162.0,11296.0,72.2,5.1014684E8
52156.0,43.0,"14400",63535.0,10573.0,67.6,6.71752583E8
63294.0,42.0,"14500",101613.0,63288.0,65.0,6.430899338E9
38062.0,45.0,"14550",43878.0,3575.0,66.4,1.56865213E8
39686.0,38.0,"14600",45189.0,2628.0,64.8,1.18756582E8
51683.0,41.0,"14650",60139.0,101738.0,78.5,6.118408425E9
71900.0,38.0,"14700",101423.0,22374.0,74.8,2.269243041E9
47164.0,40.0,"14750",50509.0,5644.0,78.8,2.85071337E8
45080.0,43.0,"14920",51088.0,3234.0,70.4,1.65219775E8
42152.0,44.0,"14950",46504.0,1355.0,63.8,6.3012336E7
53434.0,38.0,"15050",62211.0,42417.0,84.3,2.638814914E9
40722.0,45.0,"15240",46969.0,35185.0,67.3,1.652590494E9
48143.0,41.0,"15270",61329.0,11221.0,75.8,6.88175749E8
46960.0,38.0,"15300",50814.0,6346.0,74.9,3.22463448E8
70032.0,41.0,"15350",145020.0,16157.0,61.4,2.343083552E9
43332.0,43.0,"15520",48434.0,5008.0,66.9,2.42557054E8
40247.0,39.0,"15560",43859.0,1897.0,68.5,8.3201019E7
56348.0,39.0,"15650",69177.0,8214.0,85.5,5.6822074E8
40236.0,44.0,"15700",46070.0,7281.0,68.6,3.35436228E8
48172.0,39.0,"15750",55585.0,6485.0,75.5,3.60469987E8
43516.0,41.0,"15800",46896.0,2629.0,72.5,1.23289922E8
44898.0,40.0,"15850",49183.0,2853.0,70.9,1.40318549E8
53212.0,37.0,"15900",62212.0,85471.0,80.5,5.317283859E9
77567.0,37.0,"15950",105745.0,46064.0,75.5,4.871018244E9
57534.0,40.0,"15990",83413.0,151982.0,71.9,1.2677261269E10
51394.0,43.0,"16100",56366.0,2508.0,73.1,1.41366616E8
51279.0,39.0,"16150",58958.0,21319.0,80.8,1.256931184E9
45801.0,39.0,"16200",53072.0,6625.0,75.7,3.51600635E8
55000.0,36.0,"16260",64098.0,134424.0,81.0,8.616258794E9
55342.0,37.0,"16350",60487.0,113060.0,86.5,6.83863857E9
43885.0,43.0,"16380",51213.0,35089.0,69.8,1.796999359E9
47781.0,42.0,"16400",55645.0,33047.0,74.8,1.8389156E9
64598.0,40.0,"16490",71081.0,34574.0,81.0,2.457549603E9
59622.0,36.0,"16550",78875.0,82318.0,77.3,6.492841277E9
42120.0,32.0,"11300",55462.0,21820.0,78.1,1.210188877E9
31705.0,38.0,"11350",42553.0,17579.0,61.0,7.48038188E8
46849.0,42.0,"11400",54395.0,6380.0,70.6,3.47039636E8
59394.0,37.0,"11450",65979.0,51494.0,86.3,3.39754004E9
51986.0,37.0,"11500",56053.0,86514.0,87.6,4.849371756E9
61607.0,38.0,"11520",79191.0,51081.0,76.8,4.045147306E9
46633.0,36.0,"11570",54205.0,169033.0,79.8,9.162511077E9
36406.0,35.0,"11600",41464.0,1604.0,71.8,6.6507714E7
48914.0,41.0,"11650",57352.0,164810.0,77.8,9.452134789E9
39836.0,44.0,"11700",45096.0,601.0,69.5,2.7102662E7
48653.0,38.0,"11720",57479.0,26958.0,83.9,1.54953181E9
42200.0,43.0,"11730",48390.0,21231.0,71.3,1.027375856E9
58453.0,38.0,"11750",70490.0,2315.0,81.2,1.63184733E8
42100.0,40.0,"11800",48667.0,36646.0,74.7,1.783433327E9
44651.0,41.0,"12000",50001.0,1847.0,66.0,9.235128E7
40706.0,39.0,"12150",44787.0,1521.0,65.3,6.8120624E7
44759.0,43.0,"12160",49559.0,4466.0,70.2,2.21332175E8
41054.0,41.0,"12350",45117.0,5393.0,69.1,2.43317234E8
44881.0,34.0,"12380",51726.0,110686.0,80.6,5.725308363E9
50860.0,38.0,"12390",56635.0,23933.0,79.6,1.355450768E9
49384.0,43.0,"12700",59331.0,4167.0,71.7,2.47233621E8
44163.0,42.0,"12730",48381.0,4306.0,71.2,2.08328535E8
38189.0,45.0,"12750",44173.0,15358.0,63.1,6.78414063E8
44845.0,37.0,"12850",50033.0,87671.0,82.4,4.386486324E9
43864.0,44.0,"12870",48179.0,5742.0,69.5,2.76641102E8
44671.0,39.0,"12900",49703.0,4212.0,71.4,2.09349287E8
49773.0,36.0,"12930",60874.0,84181.0,78.0,5.124453951E9
41883.0,40.0,"12950",45659.0,1731.0,67.4,7.9036554E7
36986.0,42.0,"13010",42725.0,3510.0,67.1,1.49963484E8
49531.0,40.0,"13310",55434.0,14995.0,79.8,8.31227324E8
43411.0,43.0,"13340",47571.0,4888.0,67.0,2.32526408E8
43187.0,36.0,"13450",47415.0,15581.0,79.2,7.38767016E8
49661.0,38.0,"13550",61237.0,6142.0,77.5,3.76118645E8
43123.0,41.0,"13660",45853.0,1889.0,64.1,8.6616032E7
53663.0,40.0,"13800",61157.0,36060.0,79.5,2.205337572E9
39678.0,40.0,"13850",44438.0,1535.0,72.4,6.8212788E7
40794.0,40.0,"13910",45170.0,8341.0,69.8,3.7676135E8
43127.0,42.0,"16610",45776.0,9969.0,76.5,4.56340146E8
57003.0,37.0,"16700",69772.0,68477.0,78.2,4.777763606E9
51108.0,39.0,"16900",58939.0,35389.0,82.9,2.085788884E9
42959.0,42.0,"16950",49685.0,42805.0,69.9,2.126786564E9
58150.0,40.0,"17000",73358.0,12609.0,83.2,9.24976196E8
42855.0,41.0,"17040",50209.0,10693.0,72.2,5.36885917E8
46208.0,42.0,"17080",53195.0,6972.0,75.0,3.70878622E8
60675.0,41.0,"17420",76384.0,94268.0,77.1,7.200544209E9
42748.0,42.0,"17550",50560.0,41573.0,70.1,2.101912695E9
48907.0,40.0,"17620",59824.0,7305.0,78.7,4.37016451E8
45627.0,44.0,"17640",52571.0,3589.0,64.0,1.88677809E8
42712.0,43.0,"17650",48292.0,2795.0,70.5,1.34976198E8
50425.0,38.0,"17750",55552.0,33032.0,78.9,1.834992296E9
38146.0,42.0,"17850",42569.0,1321.0,59.4,5.6233312E7
