lga_name_2021_asgs, sep_21, lga_code_2021_asgs, jun_21, jun_20
"Albury (C)",7.80000019073486,"10050",7.59999990463257,5.59999990463257
"Armidale Regional (A)",4.59999990463257,"10180",5.30000019073486,5.40000009536743
"Ballina (A)",3.40000009536743,"10250",3.59999990463257,3.09999990463257
"Balranald (A)",3.5,"10300",3.70000004768372,2.20000004768372
"Bathurst Regional (A)",2.20000004768372,"10470",2.70000004768372,3.09999990463257
"Bayside (A)",5.59999990463257,"10500",5.80000019073486,3.90000009536743
"Bega Valley (A)",7.80000019073486,"10550",6.90000009536743,5.59999990463257
"Bellingen (A)",4.40000009536743,"10600",6.40000009536743,6.40000009536743
"Berrigan (A)",5.19999980926514,"10650",5.09999990463257,3.20000004768372
"Blacktown (C)",7.09999990463257,"10750",7.5,6.19999980926514
"Bland (A)",1.5,"10800",1.89999997615814,2.40000009536743
"Blayney (A)",2.0,"10850",2.5,2.90000009536743
"Blue Mountains (C)",3.5,"10900",3.90000009536743,4.5
"Bogan (A)",5.19999980926514,"10950",4.80000019073486,1.70000004768372
"Bourke (A)",10.3999996185303,"11150",9.39999961853027,3.09999990463257
"Brewarrina (A)",10.8000001907349,"11200",9.80000019073486,3.29999995231628
"Broken Hill (C)",7.09999990463257,"11250",6.40000009536743,2.20000004768372
"Burwood (A)",6.09999990463257,"11300",7.5,4.5
"Byron (A)",5.59999990463257,"11350",6.0,4.40000009536743
"Cabonne (A)",1.39999997615814,"11400",1.79999995231628,2.0
"Camden (A)",3.40000009536743,"11450",3.79999995231628,2.59999990463257
"Campbelltown (C) (NSW)",7.5,"11500",8.30000019073486,7.40000009536743
"Canada Bay (A)",3.90000009536743,"11520",5.0,2.79999995231628
"Canterbury-Bankstown (A)",9.10000038146973,"11570",9.0,7.59999990463257
"Carrathool (A)",1.70000004768372,"11600",2.20000004768372,3.29999995231628
"Central Coast (C) (NSW)",5.69999980926514,"11650",6.0,4.69999980926514
"Central Darling (A)",9.10000038146973,"11700",7.69999980926514,2.5
"Cessnock (C)",5.80000019073486,"11720",6.80000019073486,5.90000009536743
"Clarence Valley (A)",4.69999980926514,"11730",6.80000019073486,8.0
"Cobar (A)",3.0,"11750",2.79999995231628,0.899999976158142
"Coffs Harbour (C)",3.79999995231628,"11800",5.59999990463257,6.30000019073486
"Coolamon (A)",1.60000002384186,"12000",2.09999990463257,3.20000004768372
"Coonamble (A)",7.69999980926514,"12150",7.0,2.5
"Cootamundra-Gundagai Regional (A)",2.40000009536743,"12160",3.09999990463257,5.09999990463257
"Cowra (A)",3.59999990463257,"12350",4.30000019073486,5.40000009536743
"Cumberland (A)",9.19999980926514,"12380",10.1000003814697,8.0
"Dubbo Regional (A)",4.5,"12390",4.19999980926514,1.39999997615814
"Dungog (A)",3.40000009536743,"12700",4.0,3.29999995231628
"Edward River (A)",7.09999990463257,"12730",7.09999990463257,5.40000009536743
"Eurobodalla (A)",9.30000019073486,"12750",8.39999961853027,7.69999980926514
"Fairfield (C)",11.8999996185303,"12850",12.8000001907349,10.1000003814697
"Federation (A)",6.19999980926514,"12870",6.09999990463257,3.90000009536743
"Forbes (A)",2.40000009536743,"12900",3.0,3.5
"Georges River (A)",4.59999990463257,"12930",4.5,3.5
"Gilgandra (A)",5.59999990463257,"12950",5.19999980926514,2.09999990463257
"Glen Innes Severn (A)",6.0,"13010",6.90000009536743,7.40000009536743
"Goulburn Mulwaree (A)",6.40000009536743,"13310",5.59999990463257,5.0
"Greater Hume Shire (A)",4.0,"13340",3.90000009536743,2.79999995231628
"Griffith (C)",1.89999997615814,"13450",2.40000009536743,3.90000009536743
"Gunnedah (A)",4.30000019073486,"13550",5.09999990463257,5.09999990463257
"Gwydir (A)",3.90000009536743,"13660",4.5,4.30000019073486
"Hawkesbury (C)",6.5,"13800",7.30000019073486,6.0
"Hay (A)",5.59999990463257,"13850",5.5,3.70000004768372
"Hilltops (A)",7.5,"13910",6.5,6.0
"Hornsby (A)",5.5,"14000",6.40000009536743,4.80000019073486
"Hunters Hill (A)",3.0,"14100",3.5,4.09999990463257
"Inner West (A)",6.30000019073486,"14170",7.30000019073486,4.90000009536743
"Inverell (A)",6.0,"14220",6.69999980926514,6.19999980926514
"Junee (A)",2.29999995231628,"14300",2.90000009536743,5.0
"Kempsey (A)",7.40000009536743,"14350",9.39999961853027,9.89999961853027
"Kiama (A)",2.59999990463257,"14400",3.0,3.0
"Ku-ring-gai (A)",3.79999995231628,"14500",4.59999990463257,2.59999990463257
"Kyogle (A)",6.5,"14550",6.40000009536743,6.0
"Lachlan (A)",3.40000009536743,"14600",4.30000019073486,5.30000019073486
"Lake Macquarie (C)",5.5,"14650",6.59999990463257,5.69999980926514
"Lane Cove (A)",4.09999990463257,"14700",4.80000019073486,2.70000004768372
"Leeton (A)",2.59999990463257,"14750",3.29999995231628,5.30000019073486
"Lismore (C)",5.69999980926514,"14850",5.59999990463257,5.30000019073486
"Lithgow (C)",3.09999990463257,"14870",3.90000009536743,4.69999980926514
"Liverpool (C)",7.69999980926514,"14900",8.30000019073486,5.80000019073486
"Liverpool Plains (A)",4.5,"14920",5.40000009536743,5.30000019073486
"Lockhart (A)",1.5,"14950",2.0,3.0
"Maitland (C)",4.09999990463257,"15050",4.80000019073486,4.0
"Mid-Coast (A)",5.80000019073486,"15240",7.40000009536743,8.0
"Mid-Western Regional (A)",2.5,"15270",3.20000004768372,3.90000009536743
"Moree Plains (A)",5.69999980926514,"15300",6.59999990463257,6.40000009536743
"Mosman (A)",3.70000004768372,"15350",4.69999980926514,2.70000004768372
"Murray River (A)",4.0,"15520",4.09999990463257,2.5
"Murrumbidgee (A)",2.70000004768372,"15560",3.09999990463257,3.20000004768372
"Muswellbrook (A)",5.30000019073486,"15650",6.19999980926514,5.69999980926514
"Nambucca Valley (A)",7.59999990463257,"15700",9.5,10.3000001907349
"Narrabri (A)",4.0,"15750",4.69999980926514,5.09999990463257
"Narrandera (A)",3.29999995231628,"15800",4.19999980926514,6.69999980926514
"Narromine (A)",5.5,"15850",5.09999990463257,1.60000002384186
"Newcastle (C)",5.80000019073486,"15900",6.90000009536743,6.0
"North Sydney (A)",3.70000004768372,"15950",4.59999990463257,2.59999990463257
"Northern Beaches (A)",3.20000004768372,"15990",3.70000004768372,4.19999980926514
"Oberon (A)",1.89999997615814,"16100",2.5,2.70000004768372
"Orange (C)",2.5,"16150",3.09999990463257,3.70000004768372
"Parkes (A)",3.20000004768372,"16200",3.90000009536743,4.69999980926514
"Parramatta (C)",4.80000019073486,"16260",5.5,4.30000019073486
"Penrith (C)",4.90000009536743,"16350",5.19999980926514,5.69999980926514
"Port Macquarie-Hastings (A)",4.09999990463257,"16380",5.30000019073486,5.59999990463257
"Port Stephens (A)",5.0,"16400",5.90000009536743,4.80000019073486
"Queanbeyan-Palerang Regional (A)",3.0,"16490",2.70000004768372,2.0
"Randwick (C)",4.90000009536743,"16550",5.40000009536743,4.69999980926514
"Richmond Valley (A)",6.0,"16610",5.90000009536743,5.80000019073486
"Ryde (C)",4.69999980926514,"16700",5.09999990463257,5.90000009536743
"Shellharbour (C)",6.19999980926514,"16900",6.69999980926514,7.80000019073486
"Shoalhaven (C)",7.5,"16950",7.30000019073486,8.0
"Singleton (A)",3.29999995231628,"17000",4.0,3.40000009536743
"Snowy Monaro Regional (A)",5.0,"17040",4.5,3.59999990463257
"Snowy Valleys (A)",2.40000009536743,"17080",3.0,5.40000009536743
"Strathfield (A)",5.30000019073486,"17100",6.5,3.90000009536743
"Sutherland Shire (A)",2.90000009536743,"17150",3.29999995231628,2.70000004768372
"Sydney (C)",5.5,"17200",6.09999990463257,3.90000009536743
"Tamworth Regional (A)",4.09999990463257,"17310",5.0,4.69999980926514
"Temora (A)",2.40000009536743,"17350",3.0,4.80000019073486
"Tenterfield (A)",6.80000019073486,"17400",7.69999980926514,7.09999990463257
"The Hills Shire (A)",5.90000009536743,"17420",6.90000009536743,3.40000009536743
"Tweed (A)",4.59999990463257,"17550",4.69999980926514,4.09999990463257
"Upper Hunter Shire (A)",2.79999995231628,"17620",3.29999995231628,3.0
"Upper Lachlan Shire (A)",3.5,"17640",3.20000004768372,2.79999995231628
"Uralla (A)",3.20000004768372,"17650",3.79999995231628,3.20000004768372
"Wagga Wagga (C)",2.5,"17750",3.20000004768372,5.69999980926514
"Walcha (A)",2.90000009536743,"17850",3.40000009536743,2.79999995231628
"Walgett (A)",12.6999998092651,"17900",11.1999998092651,4.19999980926514
"Warren (A)",5.5,"17950",5.0,1.79999995231628
"Warrumbungle Shire (A)",5.59999990463257,"18020",5.30000019073486,2.29999995231628
"Waverley (A)",3.70000004768372,"18050",4.5,3.29999995231628
"Weddin (A)",2.09999990463257,"18100",2.70000004768372,3.29999995231628
"Wentworth (A)",8.19999980926514,"18200",8.10000038146973,6.0
"Willoughby (C)",4.5,"18250",5.40000009536743,3.20000004768372
"Wingecarribee (A)",3.20000004768372,"18350",3.29999995231628,2.70000004768372
"Wollondilly (A)",3.20000004768372,"18400",3.70000004768372,3.0
"Wollongong (C)",5.5,"18450",6.0,6.90000009536743
"Woollahra (A)",3.20000004768372,"18500",3.79999995231628,2.59999990463257
"Yass Valley (A)",3.09999990463257,"18710",2.70000004768372,2.20000004768372
"Unincorporated NSW",5.19999980926514,"19399",5.0,1.70000004768372
"Alpine (S)",2.5,"20110",3.29999995231628,2.29999995231628
"Ararat (RC)",3.29999995231628,"20260",3.09999990463257,4.19999980926514
"Ballarat (C)",4.90000009536743,"20570",6.09999990463257,4.0
"Banyule (C)",4.5,"20660",5.19999980926514,3.59999990463257
"Bass Coast (S)",6.30000019073486,"20740",6.59999990463257,4.40000009536743
"Baw Baw (S)",4.19999980926514,"20830",4.40000009536743,2.90000009536743
"Bayside (C)",3.59999990463257,"20910",4.40000009536743,3.70000004768372
"Benalla (RC)",3.59999990463257,"21010",4.19999980926514,4.30000019073486
"Boroondara (C)",4.5,"21110",4.59999990463257,3.70000004768372
"Brimbank (C)",9.0,"21180",10.3000001907349,9.5
"Buloke (S)",2.70000004768372,"21270",2.5,3.0
"Campaspe (S)",2.79999995231628,"21370",4.5,5.0
"Cardinia (S)",6.0,"21450",6.19999980926514,6.90000009536743
"Casey (C)",6.80000019073486,"21610",7.0,7.69999980926514
"Central Goldfields (S)",9.30000019073486,"21670",11.0,7.30000019073486
"Colac-Otway (S)",3.70000004768372,"21750",3.5,2.70000004768372
"Corangamite (S)",3.29999995231628,"21830",3.09999990463257,2.59999990463257
"Darebin (C)",6.59999990463257,"21890",7.40000009536743,5.59999990463257
"East Gippsland (S)",6.80000019073486,"22110",6.80000019073486,5.19999980926514
"Frankston (C)",5.69999980926514,"22170",6.19999980926514,6.30000019073486
"Gannawarra (S)",2.90000009536743,"22250",2.79999995231628,3.40000009536743
"Glen Eira (C)",4.40000009536743,"22310",5.19999980926514,4.19999980926514
"Glenelg (S)",5.19999980926514,"22410",4.80000019073486,4.40000009536743
"Golden Plains (S)",2.79999995231628,"22490",3.29999995231628,2.40000009536743
"Greater Bendigo (C)",4.40000009536743,"22620",4.80000019073486,5.30000019073486
"Greater Dandenong (C)",8.5,"22670",8.80000019073486,10.3000001907349
"Greater Geelong (C)",3.59999990463257,"22750",4.19999980926514,4.09999990463257
"Greater Shepparton (C)",3.5,"22830",5.80000019073486,6.30000019073486
"Hepburn (S)",4.30000019073486,"22910",5.59999990463257,3.09999990463257
"Hindmarsh (S)",3.0,"22980",2.79999995231628,3.70000004768372
"Hobsons Bay (C)",4.90000009536743,"23110",5.69999980926514,5.0
"Horsham (RC)",2.59999990463257,"23190",2.5,3.29999995231628
